"Provincia","pct_paredes_ladrillo","pct_techos_concreto","pct_pisos_precario","pct_pisos_buenos","indice_algebraico","indice_aritmetico"
"Lima, provincia: Lima",85.0696027951453,74.3282456785583,54.0356289076867,45.9643710923133,3.76007312605176,3.60588194395428
"Provincia Constitucional del Callao",74.7831059553958,64.103014459603,61.2784903194183,38.7215096805817,3.09646349694835,2.96946345144741
"Arequipa, provincia: Arequipa",86.5097535455666,70.6606304841032,69.8432595385843,30.1567404614157,3.04739852434412,2.92211437855838
"Moquegua, provincia: Ilo",81.4276939276939,69.0724815724816,71.6874341874342,28.3125658125658,2.86219828422472,2.7441119058032
"La Lbertad, provincia: Trujillo",69.3868625907461,63.2734190501181,68.364383801277,31.635616198723,2.70316895198304,2.59143373419284
"Ica, provincia: Ica",71.929526851667,62.1042124176482,74.6725893391895,25.3274106608105,2.45417278277569,2.35267627979139
"Lambayeque, provincia: Chiclayo",65.1639915539058,55.6714283501722,69.4283398468758,30.5716601531242,2.4413689705368,2.34096522988336
"Tacna, provincia: Tacna",85.9647364141634,56.3047860905982,77.6344660897072,22.3655339102928,2.4227817704442,2.32461949430153
"Junín, provincia: Huancayo",66.9136020225181,57.7108504571244,78.3960960696123,21.6039039303877,2.13460449347528,2.04610553464959
"Ica, provincia: Pisco",70.2666401353099,52.0022883295195,78.7284847278878,21.2715152721122,2.05505529268439,1.97094759987981
"Cusco, provincia: Cusco",52.3375003516801,35.7963444026596,67.0339769860547,32.9660230139453,1.94623838359694,1.86784011697952
"Áncash, provincia: Santa",66.5544678263402,48.2806170079738,79.2971727605197,20.7028272394803,1.90029299346693,1.82265581602429
"Ica, provincia: Nazca",61.1080608934365,49.1789368604941,80.3244322435738,19.6755677564262,1.79418935662699,1.72016613054328
"Arequipa, provincia: Islay",65.4662254233989,50.8662643566284,83.4014664849783,16.5985335150217,1.76516774867223,1.69233814548048
"Ica, provincia: Chincha",67.0808975391186,45.1324955368082,81.5608919382504,18.4391080617496,1.74980744150845,1.67870199303089
"Lima, provincia: Huaral",63.3855094595741,47.2533299397641,82.5803851701027,17.4196148298973,1.69501855905122,1.62542403598238
"Piura, provincia: Talara",67.1440675649821,33.7934238937328,78.2518380845656,21.7481619154344,1.65881124988785,1.59326756909299
"Puno, provincia: San Román",73.0028800970138,59.3729472992774,93.0801879642262,6.91981203577383,1.64648928892306,1.57746356341453
"Junín, provincia: Yauli",59.5875684128225,38.4870992963253,79.1829554339328,20.8170445660672,1.60216755296411,1.53746301734651
"Lima, provincia: Barranca",59.2745108325028,43.177883858784,82.8463515711063,17.1536484288937,1.53974936052689,1.47667557656337
"Arequipa, provincia: Camaná",59.0230139411374,47.0458065943793,85.4613852622262,14.5386147377738,1.50531472604741,1.44291305343602
"Moquegua, provincia: Mariscal Nieto",52.32994498488,45.7973549021751,82.6174080956024,17.3825919043976,1.4985939000111,1.43615356973631
"Lima, provincia: Huaura",52.9308390953734,39.4074268727315,79.8709084040928,20.1290915959072,1.49257215500693,1.43152167685293
"Tacna, provincia: Jorge Basadre",44.6003262642741,33.8988580750408,74.3230016313214,25.6769983686786,1.48778954697959,1.4272334026046
"Lima, provincia: Cañete",60.5791530323728,39.9958700003177,84.9445626965721,15.0554373034279,1.40712274683458,1.34994135207024
"Áncash, provincia: Huaraz",45.612188763185,40.5415102011529,81.2839340811787,18.7160659188213,1.34715037976348,1.2910811959833
"Cajamarca, provincia: Cajamarca",45.0516429779261,37.9221699191079,81.6416068735433,18.3583931264567,1.27069438573071,1.21805577894254
"Ayacucho, provincia: Huamanga",48.2435395794814,45.1061329205544,86.5603187570767,13.4396812429233,1.25888184906643,1.20571552108692
"Piura, provincia: Piura",56.0185877632278,26.7000531226308,80.7665131439829,19.2334868560171,1.24354817568101,1.19477552646229
"Piura, provincia: Sechura",68.1517401626509,29.1306763651058,86.8212355407385,13.1787644592615,1.22159766355355,1.17421490907131
"San Martín, provincia: San Martín",61.987462747919,18.6866714623369,79.6094954269859,20.3905045730141,1.21852385744927,1.17258990434419
"Huánuco, provincia: Huánuco",41.8335838229266,37.6772783167099,84.4350321082115,15.5649678917885,1.10100306840428,1.0548619381212
"Ica, provincia: Palpa",50.9694619486185,41.0567135239942,90.1841977702375,9.81580222976248,1.06623168949246,1.02159001615127
"Arequipa, provincia: Caravelí",49.6866531165312,35.7808265582656,90.9298780487805,9.07012195121951,0.908880143167936,0.87126891657921
"Tumbes, provincia: Tumbes",50.3426222019187,19.5378807915174,83.3665937342214,16.6334062657786,0.904823414366569,0.870232862301912
"Puno, provincia: Puno",43.7726535505254,36.6307030533813,89.3237430364572,10.6762569635428,0.904716819762975,0.866663495067154
"La Lbertad, provincia: Ascope",42.8944152713102,36.5137554080386,89.5505135572509,10.4494864427491,0.879744516223504,0.842629925988725
"Áncash, provincia: Huarmey",48.6457204767064,27.638136511376,88.7648970747562,11.2351029252438,0.818470388672088,0.785759101144053
"Madre de Dios prov. de Tambopata",57.9599495325289,19.2132250655107,88.5736469218078,11.4263530781922,0.794816729279768,0.765221143856203
"Huánuco, provincia: Leoncio Prado",55.0414679345019,24.1911474314184,90.2573138499863,9.74268615001367,0.781892040330376,0.751719363887028
"Piura, provincia: Sullana",51.3493596259402,19.9545131124212,87.1226367147794,12.8773632852206,0.771557742847504,0.74223925424659
"Apurímac, provincia: Abancay",38.5807953918745,30.7739444818923,88.6819045284637,11.3180954715363,0.735033162875893,0.704294250402945
"Piura, provincia: Paita",56.8951157118211,18.0260574692129,89.2587304420251,10.7412695579749,0.726210439154605,0.699448354664686
"San Martín, provincia: Moyobamba",58.2179260773926,18.6417572884717,90.2872014127707,9.7127985872293,0.71555767801657,0.68921284031229
"Junín, provincia: Chanchamayo",60.7521858905258,22.6230686309738,94.301113905857,5.69888609414301,0.666697069093139,0.641791259732192
"Tumbes, provincia: Zarumilla",55.4427235534775,13.3985973115137,90.4295733489188,9.57042665108125,0.561732662417372,0.542157279965465
"La Lbertad, provincia: Pacasmayo",31.7652884377321,25.3881795352456,88.6570226010682,11.3429773989318,0.524872023105942,0.502839310576913
"Loreto, provincia: Maynas",51.9777618434882,6.85119883701514,86.8987397723143,13.1012602276857,0.524447574638719,0.507208643771213
"Junín, provincia: Chupaca",41.0614133482894,30.7627593942793,95.2467750981492,4.75322490185081,0.497891166467568,0.476717446167428
"La Lbertad, provincia: Chepén",33.9019980529415,24.7554587177229,90.241527977377,9.75847202262297,0.477853608290871,0.457954283061008
"Arequipa, provincia: Caylloma",48.7514645577036,25.6370826010545,96.1701816051552,3.82981839484475,0.470360676807076,0.451758984598461
"Pasco, provincia: Pasco",58.5673465366046,11.7515682990114,93.0732091831708,6.92679081682924,0.464702036176499,0.449488445564113
